jurisdiction,title,match_text,date,file_link
Santa Ana,2022-014 - Washington Ave Well Project,2022-014 - Washington Ave Well Project,2022-02-07,https://publicdocs.santa-ana.org/WebLink/1/doc/130945/Page1.aspx
Santa Ana,2022-015 - Remote Teleconferencing Provisions,2022-015 - Remote Teleconferencing Provisions,2022-02-17,https://publicdocs.santa-ana.org/WebLink/1/doc/131250/Page1.aspx
Santa Ana,2022-016 - Supporting Assembly Bill,2022-016 - Supporting Assembly Bill,2022-03-03,https://publicdocs.santa-ana.org/WebLink/1/doc/131366/Page1.aspx
Santa Ana,2022-017 - Calrecycle For Approval Pursuant,2022-017 - Calrecycle For Approval Pursuant,2022-03-03,https://publicdocs.santa-ana.org/WebLink/1/doc/131365/Page1.aspx
Santa Ana,2022-018 - Fiscal Year 2021-2022,2022-018 - Fiscal Year 2021-2022,2022-03-09,https://publicdocs.santa-ana.org/WebLink/1/doc/131421/Page1.aspx
Santa Ana,2022-019 - City's Basic Classification and Compensation Plan,2022-019 - City's Basic Classification and Compensation Plan,2022-03-09,https://publicdocs.santa-ana.org/WebLink/1/doc/131422/Page1.aspx
Santa Ana,2022-020 - Grant Funds From the State of California Budget Act of 2021,2022-020 - Grant Funds From the State of California Budget Act of 2021,2022-03-17,https://publicdocs.santa-ana.org/WebLink/1/doc/131637/Page1.aspx
Santa Ana,2022-021 - Remote Teleconferencing Provisions (AB 361),2022-021 - Remote Teleconferencing Provisions (AB 361),2022-03-21,https://publicdocs.santa-ana.org/WebLink/1/doc/131654/Page1.aspx
Santa Ana,2022-022 - Wards of the City of Santa Ana,2022-022 - Wards of the City of Santa Ana,2022-04-06,https://publicdocs.santa-ana.org/WebLink/1/doc/131837/Page1.aspx
Santa Ana,2022-023 - The Partnership Policy,2022-023 - The Partnership Policy,2022-04-13,https://publicdocs.santa-ana.org/WebLink/1/doc/131919/Page1.aspx
Santa Ana,2022-024 - City's Sponsorship Policy,2022-024 - City's Sponsorship Policy,2022-04-13,https://publicdocs.santa-ana.org/WebLink/1/doc/131920/Page1.aspx
