Official Name,Vote Outcome,File Number,Agenda Item Subject,Vote Date,Meeting Type,Overall Result,Link
James Gore,Aye,2019-0778,"Adopt a Gold Resolution honoring Stephen Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4406
Lynda Hopkins,Aye,2019-0778,"Adopt a Gold Resolution honoring Stephen Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4406
Susan Gorin,Aye,2019-0779,"Adopt a Gold Resolution honoring James Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4407
David Rabbitt,Aye,2019-0779,"Adopt a Gold Resolution honoring James Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4407
Shirlee Zane,Aye,2019-0779,"Adopt a Gold Resolution honoring James Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4407
James Gore,Aye,2019-0779,"Adopt a Gold Resolution honoring James Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4407
Lynda Hopkins,Aye,2019-0779,"Adopt a Gold Resolution honoring James Bullard for achieving the ranks of Eagle Scout, Order of the Arrow, and Brotherhood status. (Fifth District)",2019-06-04,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4407
Susan Gorin,Aye,2019-0780,Body Worn Camera Contract 2nd Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4408
David Rabbitt,Aye,2019-0780,Body Worn Camera Contract 2nd Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4408
Shirlee Zane,Aye,2019-0780,Body Worn Camera Contract 2nd Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4408
James Gore,Aye,2019-0780,Body Worn Camera Contract 2nd Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4408
Lynda Hopkins,Aye,2019-0780,Body Worn Camera Contract 2nd Amendment,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4408
Susan Gorin,Aye,2019-0781,Redwood Empire Communications Authority Agreements,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4409
David Rabbitt,Aye,2019-0781,Redwood Empire Communications Authority Agreements,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4409
Shirlee Zane,Aye,2019-0781,Redwood Empire Communications Authority Agreements,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4409
James Gore,Aye,2019-0781,Redwood Empire Communications Authority Agreements,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4409
Lynda Hopkins,Aye,2019-0781,Redwood Empire Communications Authority Agreements,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4409
Susan Gorin,Aye,2019-0866,"Approve a 6-month extension of the deadline for a $226,560 County Fund for Housing award to the Robinson Road Transitional Housing development project located in Sebastopol.",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4493
David Rabbitt,Aye,2019-0866,"Approve a 6-month extension of the deadline for a $226,560 County Fund for Housing award to the Robinson Road Transitional Housing development project located in Sebastopol.",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4493
Shirlee Zane,Aye,2019-0866,"Approve a 6-month extension of the deadline for a $226,560 County Fund for Housing award to the Robinson Road Transitional Housing development project located in Sebastopol.",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4493
James Gore,Aye,2019-0866,"Approve a 6-month extension of the deadline for a $226,560 County Fund for Housing award to the Robinson Road Transitional Housing development project located in Sebastopol.",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4493
Lynda Hopkins,Aye,2019-0866,"Approve a 6-month extension of the deadline for a $226,560 County Fund for Housing award to the Robinson Road Transitional Housing development project located in Sebastopol.",2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4493
Susan Gorin,Aye,2019-0928,Doran Park Boat Launch Facility Improvements Bid Award,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4556
David Rabbitt,Aye,2019-0928,Doran Park Boat Launch Facility Improvements Bid Award,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4556
Shirlee Zane,Aye,2019-0928,Doran Park Boat Launch Facility Improvements Bid Award,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4556
James Gore,Aye,2019-0928,Doran Park Boat Launch Facility Improvements Bid Award,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4556
Lynda Hopkins,Aye,2019-0928,Doran Park Boat Launch Facility Improvements Bid Award,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4556
Susan Gorin,Aye,2019-0930,Disbursement of Fiscal Year 2018-2019 Third District Community Investment Fund Grant Awards,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4558
David Rabbitt,Aye,2019-0930,Disbursement of Fiscal Year 2018-2019 Third District Community Investment Fund Grant Awards,2019-06-11,Board of Supervisors,Pass,https://sonoma-county.legistar.com/gateway.aspx?m=l&id=/matter.aspx?key=4558
